,id,explanation_method,comprehensiveness,sufficiency,prob
0,1913,decompx,0.3092312990920618,0.029082690924406053,0.9943388104438782
1,4550,decompx,0.1367555228571291,0.05774453939375235,0.15146853029727936
2,4424,decompx,0.08803851922621599,0.00591814356881219,0.9996589422225952
3,3802,decompx,0.2097153174025672,0.0027822000639779227,0.9995806813240051
4,3867,decompx,0.7470756452730192,0.033050430885383064,0.9948807954788208
5,2557,decompx,0.8347786921658553,0.03451234113205882,0.9759672284126282
6,2097,decompx,0.01845921020743982,0.08983459645214509,0.9993723034858704
7,3546,decompx,0.8840525127672536,0.0030860670430715694,0.9584444761276245
8,2808,decompx,0.33844159560670195,0.007148455632360358,0.9996665716171265
9,893,decompx,0.5401887649638673,0.03163840665908183,0.999051034450531
10,674,decompx,0.528755864334843,0.03651833060112866,0.9989060163497925
11,4329,decompx,0.7381612117250644,0.03472045072635939,0.9989264607429504
12,518,decompx,0.6545978945299483,0.022439473104186175,0.9991744160652161
13,3071,decompx,0.8558938616421073,0.006254561245441437,0.9993823766708374
14,1449,decompx,0.7486699833969441,0.040440758917389845,0.9991769194602966
15,2475,decompx,0.5738100860035047,0.020782890689113865,0.9993069171905518
16,2224,decompx,0.7645266788036679,0.023210226092487574,0.9987109899520874
17,3008,decompx,0.9013997766992163,0.020052011084297428,0.9989023208618164
18,2799,decompx,0.48039882625603386,0.03093057137823874,0.9993740916252136
19,3455,decompx,0.7309187533614664,-0.11644748642164118,0.8473272919654846
20,2715,decompx,0.073231648567111,0.005900258241697799,0.9996358156204224
21,1799,decompx,0.7491796905330071,0.025084374615779288,0.9993937015533447
22,1476,decompx,0.03224983513355255,0.006394380331039428,0.9996558427810669
23,3045,decompx,0.32831070517951094,-0.39167646651989535,0.33991745114326477
24,191,decompx,0.7312138875963033,0.021129453364683658,0.9993802309036255
25,1612,decompx,0.08378092710708462,0.2280328508478665,0.9987958669662476
26,3501,decompx,0.7699986336364721,-0.004816067218780517,0.992664635181427
27,2706,decompx,0.0953969399134318,0.005608722898695204,0.9996641874313354
28,788,decompx,0.8515526866324,0.025098853618712037,0.9991770386695862
29,2721,decompx,-0.015560192151042429,-0.8428927380058061,0.0007631847984157503
30,2543,decompx,0.11109909787774086,0.0052831632395585375,0.9995973706245422
31,4425,decompx,0.6678003474939942,0.03810448874719441,0.9857469797134399
32,4154,decompx,0.06770068500190973,0.002222105860710144,0.9995936751365662
33,169,decompx,0.6604768607233252,0.024125859354223525,0.9913190007209778
34,1657,decompx,0.012758721004832874,0.007516709241000089,0.9996616840362549
35,3040,decompx,0.31696904604241516,0.002419437232770418,0.9996602535247803
36,269,decompx,0.6125626924175133,0.02332237399205929,0.9993628859519958
37,1775,decompx,0.35925204561896285,0.005464334379542957,0.9996589422225952
38,3229,decompx,0.9476138007964398,0.02231848207504853,0.9986925721168518
39,4496,decompx,-0.4720820152554019,-0.30971439362599934,0.10239534825086594
40,1064,decompx,0.6032751316291302,0.03158739382444426,0.9993277788162231
41,4134,decompx,0.8091355863251481,0.036044104335208736,0.9990893602371216
42,4000,decompx,0.3726854975064916,0.029991295308836045,0.9983528852462769
43,609,decompx,-0.3197178806402479,-0.017852908966166002,0.0020482183899730444
44,2710,decompx,0.5051091335092982,0.03384214093287786,0.9990960359573364
45,3460,decompx,0.6802187723614656,0.02605748813795416,0.9992254972457886
46,1803,decompx,0.6955603581599213,-0.10020113695751537,0.8552583456039429
47,1918,decompx,0.7274690418103555,0.004851048090020005,0.9996613264083862
48,3197,decompx,0.5231508215540088,-0.1052919678390026,0.5508357286453247
49,1737,decompx,0.3171613273972815,0.020212420177730648,0.9991699457168579
50,4435,decompx,0.5753705966358106,0.025775555781153744,0.9170476198196411
51,3750,decompx,0.9208615453456084,0.029801468618891457,0.9724546670913696
52,3966,decompx,0.5912016285955906,0.0374493633210659,0.9989425539970398
53,365,decompx,0.31533396737866626,0.028441239321647688,0.9988769888877869
54,4053,decompx,0.04861829831049992,0.006572530819819524,0.9995436072349548
55,2066,decompx,0.03095062250314757,0.0059395141379777775,0.999488115310669
56,1852,decompx,0.39954728781358917,0.07279588322381715,0.9942169189453125
57,2703,decompx,0.6994646910495836,0.005431792315314798,0.9989523887634277
58,487,decompx,0.6542733644384757,0.058100265114834265,0.9985476136207581
59,4055,decompx,0.5606204590973599,0.005633602539698283,0.9996187686920166
60,4475,decompx,0.8192195151328073,0.02872690916634523,0.9981461763381958
61,3348,decompx,0.5095245188470775,0.020177524924899142,0.9993853569030762
62,351,decompx,0.554085135328071,0.048209946994718755,0.9990637898445129
63,2509,decompx,0.2288417718823879,0.006908114879362045,0.999666690826416
64,4030,decompx,0.3661732885161655,0.0060376692563295364,0.9994561076164246
65,1650,decompx,0.02937317801558453,0.0053660454957381535,0.9996337890625
66,2653,decompx,0.07185740178486086,0.0026964815157764365,0.999609649181366
67,4285,decompx,0.5313330212807159,0.006581686437129974,0.9982865452766418
68,1468,decompx,0.666840553271868,0.030709557700902224,0.9989425539970398
69,2998,decompx,0.4579274104326032,0.006629979610443116,0.9995917677879333
70,1270,decompx,0.798593057376138,-0.13369709253311157,0.8581515550613403
71,297,decompx,0.6811384409278011,0.03726155466089646,0.9961426854133606
72,2019,decompx,0.6098208156251564,0.006113746651896724,0.9996432065963745
73,629,decompx,0.8481129317454272,0.056548399430128835,0.9985477328300476
74,1944,decompx,0.36077608958086266,0.023038595914840698,0.9991617202758789
75,953,decompx,0.018295336710779292,0.0063013434410095215,0.9994865655899048
76,466,decompx,0.05175207927823067,0.006419925019145012,0.9995763897895813
