,id,explanation_method,comprehensiveness,sufficiency,prob
259,566,decompx,-0.015879929534551127,-0.8747420019194465,0.002368818037211895
260,935,decompx,0.9062627197666602,0.0006237149238586426,0.9978985786437988
261,3185,decompx,0.8495200418329711,0.018724047402453318,0.997944176197052
262,2229,decompx,0.8245913942810148,0.012468368691556594,0.9994513392448425
263,2413,decompx,0.7015590091373344,0.010464594403251273,0.9998615980148315
264,1562,decompx,0.5890006522027155,0.007551845908164978,0.999567449092865
265,2801,decompx,0.525130935104155,0.008584845720267877,0.9997426867485046
266,3915,decompx,0.5517918575243153,-0.41554828943350375,0.5774707198143005
267,2777,decompx,0.6292774029505941,0.011899847021469703,0.9998499155044556
268,1722,decompx,0.270297090759987,-0.5581984530739698,0.3771625757217407
269,1368,decompx,-0.023822251333521033,-0.7862589863746468,0.0008618383435532451
270,2887,decompx,0.7681627393017827,0.0655315893121285,0.9996699094772339
271,999,decompx,-0.00934920901171176,-0.9715403900252747,0.009009645320475101
272,3195,decompx,0.6240145818345131,0.005499928243576534,0.9998751878738403
273,1492,decompx,0.8833937039538348,-0.048968719197558117,0.9412553310394287
274,2128,decompx,0.6917241141147548,0.0121426642837381,0.9998760223388672
275,2090,decompx,0.8318862457630959,-0.008209279155343528,0.9400756359100342
276,3334,decompx,0.8946705016844835,-0.0057669630417457,0.9663729071617126
277,3257,decompx,0.19112120030438087,0.004900462340309982,0.9998593330383301
278,2350,decompx,0.6259668385990116,0.06717544064229848,0.9993481040000916
279,1667,decompx,0.8336227583883753,0.007272869963006875,0.9997761845588684
280,3112,decompx,0.4523526707245987,0.00880007841149155,0.9998577833175659
281,1989,decompx,0.4081645004622553,0.002556236310936939,0.9996516704559326
282,3555,decompx,0.8905953496228903,0.11024115367068185,0.9833427667617798
283,1181,decompx,0.36788904794507266,0.016389595540188952,0.9998261332511902
284,1876,decompx,0.4850226044144532,0.008043236111941403,0.9998570680618286
285,3863,decompx,0.8372713399155106,0.06823305996215862,0.9769467711448669
286,314,decompx,0.5929989019449314,0.02672850515531457,0.9998464584350586
287,630,decompx,0.7474258649012735,0.018781119777310278,0.9995259046554565
288,3046,decompx,0.9335545711190207,0.003984369337558746,0.9994487166404724
289,1061,decompx,0.7993433920074943,0.00012370499212350418,0.9974690675735474
290,752,decompx,0.7732022659232219,0.012311584727708684,0.9995755553245544
291,82,decompx,0.18457792912210738,0.004073612101666339,0.9998772144317627
292,2759,decompx,-0.061222884386041836,-0.29003738337909923,0.0007846556254662573
293,2306,decompx,0.5253502966124353,0.006821723245992893,0.9998812675476074
294,2694,decompx,0.831381107311182,-0.05809655113295577,0.8751693964004517
295,3226,decompx,0.7325488983241971,0.0023606086886206338,0.9998422861099243
296,2884,decompx,0.7886780464193888,0.02037614377008544,0.9945205450057983
297,3836,decompx,0.30134160940845806,0.005849573761224747,0.9998825788497925
298,3740,decompx,0.5980326471271346,0.0034439249618633374,0.9998824596405029
299,1706,decompx,0.8763048940319691,-0.014932156003863606,0.971045970916748
300,3534,decompx,0.8563376823993644,0.054387558353403226,0.9998607635498047
301,2582,decompx,0.5643974593910042,0.002785287241437542,0.9998810291290283
302,2856,decompx,0.7873932361835614,0.021771903181898183,0.9998635053634644
303,3634,decompx,0.8531579272045443,0.009154466291268667,0.9997884631156921
304,1306,decompx,0.8261507174869378,0.012673676609992982,0.9995909333229065
305,3788,decompx,0.8440476248743234,0.006111668328107413,0.9971960783004761
306,327,decompx,0.9507777070608406,0.02150818722208119,0.9933278560638428
307,1431,decompx,0.722496583198433,0.018641415583729233,0.9995712637901306
308,2063,decompx,0.8286892573308685,0.028407400932864868,0.999603807926178
309,1650,decompx,0.3968763492384534,0.019651179480704533,0.9998601675033569
310,2827,decompx,0.8150228160647823,0.0038472049766116673,0.9998563528060913
311,2346,decompx,0.514644166120904,0.005844297436620459,0.9998630285263062
312,3464,decompx,0.5684482918241648,0.003007740886123092,0.9998818635940552
313,2177,decompx,0.7208888590535415,0.004696643352508545,0.9995463490486145
314,1453,decompx,0.8667850188614631,0.0093736854466525,0.9929878115653992
315,2970,decompx,0.8861433925897572,0.007098975802670006,0.9992309808731079
316,2996,decompx,0.01819643234658852,-0.9203705285320577,0.04603391885757446
317,1086,decompx,0.8453350377269089,-0.06771953801314036,0.9253492951393127
318,1736,decompx,0.5060958275919624,0.007876089243131263,0.9998644590377808
319,3815,decompx,0.23433854023891468,0.0017598646658438224,0.9998650550842285
320,1442,decompx,0.6177877717485759,0.0030762702226638794,0.9998754262924194
321,859,decompx,0.13440934707105687,0.48332594179309313,0.9497416019439697
